CS_ID	Keyword_ID	Keyword	Intent_1	Authority
CS_0001	3486	poison oak pictures	Resource	General
CS_0002	3486	best foods for hypothyroidism	Direct Answer	Expert
CS_0003	3486	kidney stones in women	Generic	Expert
CS_0004	3484	what spider bites look like	Resource	General
CS_0005	3484	fifths disease picture of rash	Resource	General
CS_0006	3484	multi myeloma life expectancy	Direct Answer	Expert
CS_0007	3483	pictures of impetigo	Resource	General
CS_0008	3483	how serious is spinal stenosis	Direct Answer	Expert
CS_0009	3483	how to correct hammer toe	Guide	Expert
CS_0010	3482	ear wax removal peroxide	Direct Answer	Expert
CS_0011	3482	side effects of diabetes	Direct Answer	Expert
CS_0012	3482	pictures of foot rashes	Resource	General
CS_0013	3480	zenni optical discount code	Transactional	General
CS_0014	3479	where is pancreas	Direct Answer	General
CS_0015	3479	what causes blood clots	Direct Answer	Expert
CS_0016	3478	canker sores on the tongue	Generic	Expert
CS_0017	3478	what is enlarged prostate	Generic	General
CS_0018	3478	what is bursitis in the knee	Generic	General
CS_0019	3476	what is cataract surgery	Generic	Expert
CS_0020	3475	what is plantar fasciitis	Generic	General
CS_0021	3475	picture of lumbar spine	Resource	General
CS_0022	3475	what is good to stop diarrhea	Direct Answer	Expert
CS_0023	3473	healing time for broken wrist	Direct Answer	Expert
CS_0024	3470	can shingles reoccur	Direct Answer	General
CS_0025	3470	knee pain and swelling	Generic	Expert
CS_0026	3470	cyberknife side effects	Direct Answer	Expert
CS_0027	3469	where are my kidneys	Direct Answer	General
CS_0028	3469	causes of severe leg cramps	Direct Answer	Expert
CS_0029	3468	home cures for scabies	Guide	General
CS_0030	3468	what to eat for kidney stones	Direct Answer	Expert
CS_0031	3467	what is level 3 cancer	Direct Answer	Expert
CS_0032	3466	what causes dark urine	Direct Answer	Expert
CS_0033	3466	treatment for protein in urine	Guide	Expert
CS_0034	3466	what is level 4 cancer	Direct Answer	General
CS_0035	3465	fluid on the lung symptoms	Direct Answer	Expert
CS_0036	3464	what is lymphocytes	Generic	General
CS_0037	3462	what is wagner disease	Generic	General
CS_0038	3462	signs of stomach aneurysm	Direct Answer	Expert
CS_0039	3462	epley maneuver for vertigo	Direct Answer	Expert
CS_0040	3461	gas pain relief home remedy	Guide	General
CS_0041	3460	kennel cough symptom	Direct Answer	Expert
CS_0042	3459	afib symptoms and treatment	Direct Answer	Expert
CS_0043	3458	symptoms of eye migraine	Direct Answer	Expert
CS_0044	3457	stage 3 kidney disease	Generic	Expert
CS_0045	3456	pictures of poison ivy and oak	Resource	General
CS_0046	3454	photos of morgellons disease	Resource	General
CS_0047	3453	best way to treat poison oak	Guide	Opinion
CS_0048	3452	bone spurs in neck treatment	Direct Answer	Expert
CS_0049	3452	what is a stem cell transplant	Generic	General
CS_0050	3452	eye floaters causes	Direct Answer	Expert
CS_0051	3451	neck pain on left side	Generic	Expert
CS_0052	3451	symptoms of spinal cancer	Direct Answer	Expert
CS_0053	3451	causes of high bloodpressure	Direct Answer	Expert
CS_0054	3449	symptoms of spinal stenosis	Direct Answer	Expert
CS_0055	3449	what causes drooping eyelids	Direct Answer	Expert
CS_0056	3449	causes of low iron in blood	Direct Answer	Expert
CS_0057	3448	myelofibrosis life expectancy	Direct Answer	Expert
CS_0058	3448	spinal stenosis treatment	Direct Answer	Expert
CS_0059	3447	foods to lower a1c levels	Direct Answer	Expert
CS_0060	3447	sore heel pain causes	Direct Answer	Expert
CS_0061	3447	urgent care locations	Direct Answer	General
CS_0062	3444	baker's cyst knee rupture	Generic	Expert
CS_0063	3444	picture of warts on feet	Resource	General
CS_0064	3443	what causes low heart beat	Direct Answer	Expert
CS_0065	3443	what is frozen shoulder	Generic	Expert
CS_0066	3442	athletes foot home cures	Guide	General
CS_0067	3439	causes of hip and thigh pain	Direct Answer	Expert
CS_0068	3439	diagnose my symptoms	Generic	General
CS_0069	3437	dosage for imodium	Direct Answer	General
CS_0070	3437	what is fibromyalgia	Direct Answer	General
CS_0071	3435	urinary odor causes	Direct Answer	Expert
CS_0072	3435	bladder surgery recovery	Generic	Expert
CS_0073	3435	ocular migraine symptoms	Direct Answer	Expert
CS_0074	3434	cholesterol numbers chart	Resource	Expert
CS_0075	3433	what is colitis in women	Direct Answer	General
CS_0076	3433	best remedy for a toothache	Guide	Opinion
CS_0077	3432	foods high in bad cholesterol	Direct Answer	Expert
CS_0078	3432	lipid panel normal ranges	Direct Answer	Expert
CS_0079	3432	what is a thyroid storm	Generic	General
CS_0080	3431	quick cure for poison ivy	Guide	General
CS_0081	3429	what is anencephaly	Generic	General
CS_0082	3429	what is primrose oil good for	Direct Answer	General
CS_0083	3427	what is mersa	Generic	General
CS_0084	3427	bell palsy treatment exercises	Direct Answer	Expert
CS_0085	3426	shoulder injuries symptoms	Direct Answer	Expert
CS_0086	3426	apria medical supply	Navigational	General
CS_0087	3425	what is chelation treatment	Generic	Expert
CS_0088	3424	normal blood pressure in kids	Direct Answer	General
CS_0089	3424	sudden hearing loss causes	Direct Answer	Expert
CS_0090	3424	top signs of lung cancer	Direct Answer	Expert
CS_0091	3424	congestive heart failure diet	Direct Answer	Expert
CS_0092	3423	splenda side effects	Direct Answer	Expert
CS_0093	3422	diagnosis codes list	Direct Answer	General
CS_0094	3418	foods to eat with colitis	Direct Answer	Expert
CS_0095	3418	what is a bowel obstruction	Direct Answer	General
CS_0096	3417	colitis foods to avoid list	Direct Answer	Expert
CS_0097	3414	pictures of female hernias	Resource	General
CS_0098	3414	what is mercer infection	Generic	Expert
CS_0099	3413	neurological symptoms	Direct Answer	Expert
CS_0100	3413	early signs of leukemia	Direct Answer	Expert
CS_0101	3410	which nuts are tree nuts	Direct Answer	General
CS_0102	3410	what are signs of measles	Direct Answer	Expert
CS_0103	3410	what are the symptoms of flu	Direct Answer	Expert
CS_0104	3410	candida symptoms	Direct Answer	Expert
CS_0105	3409	best treatment for sciatica	Guide	Opinion
CS_0106	3409	cure for leg cramps at night	Guide	Expert
CS_0107	3409	picture of the pancreas	Resource	General
CS_0108	3409	arthritis foods to avoid	Direct Answer	Expert
CS_0109	3406	images of ringworm on skin	Resource	General
CS_0110	3405	treatment for tick bites	Guide	General
CS_0111	3402	rashes pictures of types	Resource	General
CS_0112	3398	treatment for high potassium	Guide	Expert
CS_0113	3398	low heart rate dangerous	Generic	Expert
CS_0114	3398	lung fibrosis life expectancy	Direct Answer	Expert
CS_0115	3397	blood test abbreviations	Generic	General
CS_0116	3397	how to kill fleas naturally	Guide	General
CS_0117	3397	cause of numbness in hands	Direct Answer	Expert
CS_0118	3396	antibiotics for tooth infection	Direct Answer	Expert
CS_0119	3395	high eos blood count	Generic	Expert
CS_0120	3395	what is viral hepatitis	Generic	General
CS_0121	3395	pictures of severe eczema	Resource	General
CS_0122	3393	symptoms of egg allergy	Direct Answer	Expert
CS_0123	3393	ocuvite side effects	Direct Answer	Expert
CS_0124	3393	symptoms of low platelets	Direct Answer	Expert
CS_0125	3391	treatment for wasp bites	Guide	Expert
CS_0126	3390	early signs of parkinson's	Direct Answer	Expert
CS_0127	3390	what is iron infusion	Generic	Expert
CS_0128	3390	what is parkinsons disease	Generic	General
CS_0129	3389	what are symptoms of afib	Direct Answer	Expert
CS_0130	3388	cures for atrial fibrillation	Guide	Expert
CS_0131	3388	what is tongue cancer	Generic	General
CS_0132	3388	best antibiotic for cellulitis	Direct Answer	Expert
CS_0133	3387	can cinnamon help diabetes	Direct Answer	Expert
CS_0134	3387	home treatment for chiggers	Guide	General
CS_0135	3386	what are the symptoms of als	Direct Answer	Expert
CS_0136	3386	cold sores on lips pictures	Resource	General
CS_0137	3384	diets for kidney disease	Direct Answer	Expert
CS_0138	3384	ganglion cyst hand pictures	Resource	General
CS_0139	3384	ms causes and symptoms	Direct Answer	Expert
CS_0140	3382	lifestyle facelift procedure	Direct Answer	General
CS_0141	3382	what is a sessile polyp	Generic	Expert
CS_0142	3381	foods to eat for gastritis	Direct Answer	General
CS_0143	3381	what not to eat with ibs	Direct Answer	Expert
CS_0144	3380	what is beta blocker	Generic	General
CS_0145	3379	what causes liver nodules	Direct Answer	Expert
CS_0146	3378	bone cancer symptoms	Direct Answer	Expert
CS_0147	3375	persistent cough remedy	Guide	Expert
CS_0148	3375	pictures of bullseye rash	Resource	General
CS_0149	3373	uterine ablation surgery	Generic	Expert
CS_0150	3372	eczema pictures	Resource	General
CS_0151	3372	best cure for post nasal drip	Guide	Opinion
CS_0152	3372	causes low white cell count	Direct Answer	Expert
CS_0153	3371	what is chron's disease	Generic	Expert
CS_0154	3367	where are the lymph nodes	Direct Answer	General
CS_0155	3366	what is ast sgot in blood test	Generic	General
CS_0156	3366	identify pills	Generic	General
CS_0157	3366	centrum silver ingredients	Direct Answer	General
CS_0158	3365	heartburn or heart attack	Generic	Expert
CS_0159	3365	heart attack right arm pain	Direct Answer	Expert
CS_0160	3363	adult ear infection treatment	Guide	Expert
CS_0161	3363	causes night sweats men	Direct Answer	Expert
CS_0162	3363	walgreens vaccine prices	Transactional	General
CS_0163	3361	hospital patient information	Generic	General
CS_0164	3360	what to do for itchy ears	Guide	General
CS_0165	3359	what is a sociopathic person	Generic	General
CS_0166	3359	cataract surgery side effects	Direct Answer	Expert
CS_0167	3357	dsm iv codes alphabetical	Direct Answer	General
CS_0168	3356	what causes vertigo	Direct Answer	Expert
CS_0169	3355	what is stage 4 brain cancer	Generic	General
CS_0170	3354	ringworm vinegar treatment	Direct Answer	General
CS_0171	3354	coconut oil and arthritis	Generic	General
CS_0172	3352	what is a nephrologist	Generic	General
CS_0173	3350	ibs foods to avoid list	Direct Answer	Expert
CS_0174	3349	the causes of pollution	Direct Answer	General
CS_0175	3348	early symptoms of diabetes	Direct Answer	Expert
CS_0176	3345	radon levels by zip code	Direct Answer	General
CS_0177	3345	signs of schizophrenia	Direct Answer	Expert
CS_0178	3345	alkaline diet food chart	Resource	General
CS_0179	3342	fluid on elbow no pain	Direct Answer	Expert
CS_0180	3341	hidradenitis pictures	Resource	Expert
CS_0181	3341	what causes stomach acid	Direct Answer	General
CS_0182	3340	price of a ct scan	Transactional	General
CS_0183	3339	what is mch on a blood test	Direct Answer	General
CS_0184	3338	what causes a stroke	Direct Answer	Expert
CS_0185	3338	blood pressure drop causes	Direct Answer	Expert
CS_0186	3337	what is cloud	Generic	General
CS_0187	3336	how do you treat broken ribs	Guide	Expert
CS_0188	3336	express scripts fax form	Resource	General
CS_0189	3332	what causes pain in legs	Direct Answer	Expert
CS_0190	3332	causes of calf muscle cramps	Direct Answer	Expert
CS_0191	3331	schizophrenia disorder test	Direct Answer	General
CS_0192	3329	shoulder tendonitis symptoms	Direct Answer	Expert
CS_0193	3329	free blood pressure chart	Resource	General
CS_0194	3328	lupus images rash	Resource	General
CS_0195	3328	fever blisters on lips causes	Direct Answer	Expert
CS_0196	3327	fiber foods	Generic	General
CS_0197	3326	advil pm side effects	Direct Answer	Expert
CS_0198	3325	what is coenzyme q10	Generic	General
CS_0199	3325	crohn's disease facts	Generic	Expert
CS_0200	3325	local pollen count forecast	Direct Answer	General
CS_0201	3325	causes for inflamed pancreas	Direct Answer	Expert
CS_0202	3323	health care answers	Generic	General
CS_0203	3322	definition of palliative care	Generic	General
CS_0204	3322	knee meniscus tear surgery	Generic	Expert
CS_0205	3321	list of psychiatric disorders	Direct Answer	General
CS_0206	3321	epley maneuver at home	Guide	Expert
CS_0207	3320	blood test for colon cancer	Direct Answer	Expert
CS_0208	3319	warning signs of stroke	Direct Answer	Expert
CS_0209	3316	psoriatic arthritis symptoms	Direct Answer	Expert
CS_0210	3316	heart pulse rate chart	Resource	General
CS_0211	3316	the gout symptoms	Direct Answer	Expert
CS_0212	3316	intestinal virus symptoms	Direct Answer	Expert
CS_0213	3315	what is gerd symptoms	Direct Answer	Expert
CS_0214	3312	health benefits of coq10	Direct Answer	Expert
CS_0215	3311	hornet nest removal	Guide	General
CS_0216	3310	list of icd 10 codes	Direct Answer	General
CS_0217	3310	back pain exercises	Generic	Expert
CS_0218	3308	bottom of foot pain	Generic	Expert
CS_0219	3307	food to reduce blood sugar	Direct Answer	Expert
CS_0220	3305	rotator cuff therapy exercises	Direct Answer	Expert
CS_0221	3305	radiation therapy side affects	Direct Answer	Expert
CS_0222	3304	treating pink eye at home	Guide	General
CS_0223	3304	stomach bloating and gas	Generic	Expert
CS_0224	3303	what cause low potassium	Direct Answer	Expert
CS_0225	3303	follicular lymphoma survival	Direct Answer	Expert
CS_0226	3302	signs of stroke or heart attack	Direct Answer	Expert
CS_0227	3302	shingles shot side effects	Direct Answer	Expert
CS_0228	3302	symptoms of high tsh levels	Direct Answer	Expert
CS_0229	3302	what causes low thyroid	Direct Answer	Expert
CS_0230	3301	what is the thyroid	Generic	General
CS_0231	3300	how much do dentures cost	Transactional	General
CS_0232	3299	normal levels of potassium	Generic	General
CS_0233	3299	what is to low blood pressure	Generic	Expert
CS_0234	3298	sarcoidosis symptoms	Direct Answer	Expert
CS_0235	3297	what to put on wasp stings	Guide	General
CS_0236	3295	identifying skin cancer photos	Resource	General
CS_0237	3294	gall bladder pains	Generic	Expert
CS_0238	3294	images of skin cancer moles	Resource	General
CS_0239	3293	lichen sclerosis pictures	Resource	General
CS_0240	3293	alcoholic drinks for diabetics	Direct Answer	General
CS_0241	3293	atrial fibrillation symptoms	Direct Answer	Expert
CS_0242	3292	familysearch record search	Navigational	General
CS_0243	3290	best relief for toothache	Guide	Opinion
CS_0244	3289	kidney back pain symptoms	Direct Answer	Expert
CS_0245	3288	interpreting blood test results	Direct Answer	Expert
CS_0246	3288	photos of cancerous moles	Resource	General
CS_0247	3288	warning signs of blood clot	Direct Answer	Expert
CS_0248	3287	what are triglycerides	Generic	General
CS_0249	3286	treatment for itchy skin rash	Guide	Expert
CS_0250	3285	what triggers vertigo	Direct Answer	Expert
CS_0251	3284	diabetic menus for a week	Resource	General
CS_0252	3284	what causes knee pain	Direct Answer	Expert
CS_0253	3284	symptoms online diagnosis	Generic	General
CS_0254	3283	what causes trembling hands	Direct Answer	Expert
CS_0255	3282	how do you cure a fatty liver	Guide	Expert
CS_0256	3282	thyroid symptoms in women	Direct Answer	Expert
CS_0257	3281	best cream for bed sores	Direct Answer	Opinion
CS_0258	3280	dry mouth home remedies	Guide	General
CS_0259	3279	health questions	Generic	General
CS_0260	3279	pictures of foot infections	Resource	General
CS_0261	3279	impetigo pictures adults	Resource	General
CS_0262	3278	blood pressure natural cures	Direct Answer	General
CS_0263	3276	signs of depression quiz	Direct Answer	General
CS_0264	3276	knee replacement photos	Resource	General
CS_0265	3275	list of mental illnesses	Direct Answer	General
CS_0266	3275	what is mrsa skin infection	Generic	General
CS_0267	3274	colonoscopy diet day before	Direct Answer	Expert
CS_0268	3273	ptsd causes and symptoms	Direct Answer	Expert
CS_0269	3270	picture of roseola rash	Resource	General
CS_0270	3270	what is platelets	Generic	General
CS_0271	3268	high blood sugar range chart	Resource	Expert
