CS_ID	Keyword_ID	Intent_1	Authority
CS_00001	is shingles virus airborne	Direct Answer	Expert
CS_00002	what does colonoscopy mean	Generic	Expert
CS_00003	list of disease and disorders	Direct Answer	Expert
CS_00004	can osteoporosis be cured	Generic	Expert
CS_00005	intraocular lens implant	Generic	Expert
CS_00006	sore in roof of mouth	Direct Answer	Expert
CS_00007	polymyositis treatment	Guide	Expert
CS_00008	numbness fingers and toes	Generic	Expert
CS_00009	bone fusion surgery	Generic	Expert
CS_00010	ozone therapy doctors	Direct Answer	General
CS_00011	high alkaline foods	Generic	Expert
CS_00012	sinus picture	Resource	General
CS_00013	mssa infection	Generic	Expert
CS_00014	what is alcoholic neuropathy	Generic	Expert
CS_00015	best chairs for back pain	Generic	Expert
CS_00016	after torn meniscus surgery	Generic	Expert
CS_00017	bleeding veins	Generic	Expert
CS_00018	cure for stenosis	Direct Answer	Expert
CS_00019	trifexis side effects	Direct Answer	Expert
CS_00020	opthamologist doctor	Generic	General
CS_00021	va hearing aids	Generic	Expert
CS_00022	symptoms of erythromelalgia	Direct Answer	Expert
CS_00023	dementia symptoms in elderly	Direct Answer	Expert
CS_00024	causes of itchy hands	Direct Answer	Expert
CS_00025	hereditary blood disorders	Generic	Expert
CS_00026	neutronic ear	Generic	Expert
CS_00027	what is mitral valve prolapse	Generic	Expert
CS_00028	what is hctz	Generic	Expert
CS_00029	cataract surgery after lasik	Generic	Expert
CS_00030	skin fungus photos	Resource	Expert
CS_00031	long term lyme disease	Generic	Expert
CS_00032	blood work lab results	Generic	General
CS_00033	period during menopause	Direct Answer	Expert
CS_00034	skin cancer facts	Generic	Expert
CS_00035	bleeding in the kidney	Generic	Expert
CS_00036	treatment for high sed rate	Guide	Expert
CS_00037	what is helicobacter pylori	Generic	Expert
CS_00038	are podiatrists medical doctors	Direct Answer	Expert
CS_00039	what is blood platelets	Generic	Expert
CS_00040	cancer of eye	Generic	Expert
CS_00041	what is ibs and symptoms	Direct Answer	Expert
CS_00042	groin pics	Resource	General
CS_00043	ovary and back pain	Generic	Expert
CS_00044	increased platelet causes	Direct Answer	Expert
CS_00045	osteoarthritis relief	Generic	Expert
CS_00046	eyelid infection pictures	Resource	Expert
CS_00047	about lecithin	Generic	Expert
CS_00048	health care survey questions	Generic	General
CS_00049	look up medical symptoms	Direct Answer	General
CS_00050	appendix cancer statistics	Direct Answer	Expert
CS_00051	ester c side effects	Direct Answer	Expert
CS_00052	adults pulse rate	Direct Answer	Expert
CS_00053	get cell phone records	Generic	General
CS_00054	blood sugar test log	Generic	Expert
CS_00055	what is prk surgery	Generic	Expert
CS_00056	ccs diabetes supplies	Direct Answer	Expert
CS_00057	cure for swollen face	Direct Answer	Expert
CS_00058	heart failure symptoms	Direct Answer	Expert
CS_00059	military form sf 180	Resource	Expert
CS_00060	what is chickweed	Generic	Expert
CS_00061	appendix cancer causes	Direct Answer	Expert
CS_00062	neuropathy pictures	Resource	General
CS_00063	what is form i-94	Resource	Expert
CS_00064	how to cure impetigo	Guide	Expert
CS_00065	what is the gall bladder	Generic	Expert
CS_00066	disc assessment free test	Generic	Expert
CS_00067	back pain after surgery	Generic	Expert
CS_00068	fluid in fallopian tubes	Generic	Expert
CS_00069	leg pain from knee to foot	Generic	Expert
CS_00070	recovery after ovary removal	Generic	Expert
CS_00071	symptoms of uti in women	Direct Answer	Expert
CS_00072	what is triam hctz used for	Direct Answer	Expert
CS_00073	what is tonsil stones	Generic	Expert
CS_00074	fibromyalgia rash	Generic	Expert
CS_00075	facts about sickle cell	Direct Answer	Expert
CS_00076	fibrosis of the liver	Generic	Expert
CS_00077	low red blood cell symptoms	Direct Answer	Expert
CS_00078	burning eyes watery	Generic	Expert
CS_00079	how can i treat gout at home	Guide	Expert
CS_00080	what causes h pylori	Direct Answer	Expert
CS_00081	hamot hospital erie pa	Generic	Expert
CS_00082	which foods contain uric acid	Direct Answer	Expert
CS_00083	best mattresses for arthritis	Direct Answer	Expert
CS_00084	list of diagnostic tests	Generic	Expert
CS_00085	bladder symptoms	Direct Answer	Expert
CS_00086	bronchospasm symptoms	Direct Answer	Expert
CS_00087	herniated disc c6 c7	Generic	Expert
CS_00088	cure for endometriosis	Guide	Expert
CS_00089	how to treat dementia	Guide	Expert
CS_00090	egfr test results	Generic	Expert
CS_00091	uric acid reduction	Generic	Expert
CS_00092	side effects lithium	Direct Answer	Expert
CS_00093	kidney cysts size	Direct Answer	Expert
CS_00094	skin growths on face	Generic	Expert
CS_00095	basal joint surgery recovery	Generic	Expert
CS_00096	leukopenia causes	Direct Answer	Expert
CS_00097	lipedema treatment	Guide	Expert
CS_00098	do i have cancer symptoms	Direct Answer	Expert
CS_00099	hidradenitis surgery pictures	Resource	Expert
CS_00100	living with a pacemaker	Generic	Expert
CS_00101	swollen knee after a fall	Direct Answer	Expert
CS_00102	human papillomavirus	Generic	Expert
CS_00103	epilepsy facts	Direct Answer	Expert
CS_00104	diabetes 2 hours after eating	Direct Answer	Expert
CS_00105	cyst picture	Resource	General
CS_00106	frankincense oil benefits	Direct Answer	Expert
CS_00107	cardiomyopathy life expectancy	Generic	Expert
CS_00108	radon gas facts	Generic	General
CS_00109	atrial fibrillation vs flutter	Generic	Expert
CS_00110	early stage lip cancer photos	Resource	Expert
CS_00111	liver mass diagnosis	Direct Answer	Expert
CS_00112	urgent care orthopedics	Generic	Expert
CS_00113	symptoms of stomach spasms	Direct Answer	Expert
CS_00114	senna laxative dosage	Direct Answer	Expert
CS_00115	allergies and itchy ears	Generic	Expert
CS_00116	ringing ears blood pressure	Generic	Expert
