CS_ID		Keyword	Intent_1	Authority
CS_00001		lump on heel of foot	Direct Answer	Expert
CS_00002		10 facts about guatemala	Generic	Expert
CS_00003		picture of hamstring muscle	Resource	General
CS_00004		bed sores stage 1 pictures	Resource	General
CS_00005		ovarian cyst rupture	Generic	Expert
CS_00006		treating ulcers naturally	Guide	Expert
CS_00007		reasons feet swell	Direct Answer	Expert
CS_00008		pictures hives rashes	Resource	General
CS_00009		where to buy shilajit	Transactional	General
CS_00010		cpt definitions	Generic	Expert
CS_00011		cin 3 cervical cancer	Generic	Expert
CS_00012		diverticulosis cures natural	Direct Answer	Expert
CS_00013		increase blood pressure	Generic	Expert
CS_00014		maca powder benefits for men	Direct Answer	Expert
CS_00015		interstitial pneumonitis	Direct Answer	Expert
CS_00016		foot cramps treatment	Guide	Expert
CS_00017		fall prevention	Generic	Expert
CS_00018		typhoid fever treatment	Direct Answer	Expert
CS_00019		severe arthritis in knee	Generic	Expert
CS_00020		sore neck muscles	Generic	Expert
CS_00021		increase kidney function	Generic	Expert
CS_00022		prostate cancer stage 9	Generic	Expert
CS_00023		pain on my left leg	Generic	Expert
CS_00024		skin asthma treatment	Guide	Expert
CS_00025		equine ulcers symptoms	Direct Answer	Expert
CS_00026		bone spurs on top of foot	Generic	Expert
CS_00027		blood clot in artery	Generic	Expert
CS_00028		how to get a sore throat	Direct Answer	Expert
CS_00029		back child support questions	Generic	General
CS_00030		what happens after a stroke	Direct Answer	Expert
CS_00031		treatment for facial paralysis	Direct Answer	Expert
CS_00032		signs before heart attack	Direct Answer	Expert
CS_00033		wound vac manufacturers	Generic	General
CS_00034		what causes radiation	Direct Answer	Expert
CS_00035		phonak hearing aid dealers	Direct Answer	General
CS_00036		hip pain from spinal stenosis	Generic	Expert
CS_00037		tri otic ointment	Direct Answer	Expert
CS_00038		sprained foot treatment	Guide	Expert
CS_00039		intestinal virus	Generic	Expert
CS_00040		eclinical mail	Generic	General
CS_00041		mycobacterium avium treatment	Guide	Expert
CS_00042		foods good for your kidney	Direct Answer	Expert
CS_00043		standard eye test	Generic	Expert
CS_00044		leg and muscle pain	Generic	Expert
CS_00045		parotid tumor symptoms	Direct Answer	Expert
CS_00046		facts about homelessness	Generic	General
CS_00047		spondylitis of the spine	Generic	Expert
CS_00048		brachymetatarsia surgery cost	Transactional	Expert
CS_00049		how to treat gout symptoms	Guide	Expert
CS_00050		staph infection in sinuses	Generic	Expert
CS_00051		what is a pre diabetic	Generic	Expert
CS_00052		signs of rectal cancer	Direct Answer	Expert
CS_00053		calcified pancreas	Generic	Expert
CS_00054		ankle neuropathy	Generic	Expert
CS_00055		colitis treatment options	Guide	Expert
CS_00056		what does imvu stand for	Direct Answer	General
CS_00057		swollen knee after surgery	Direct Answer	Expert
CS_00058		get rid of inflammation	Guide	Expert
CS_00059		how do you get a uti	Direct Answer	Expert
CS_00060		hysteroscopy surgery	Generic	Expert
CS_00061		neutrophils in blood	Generic	Expert
CS_00062		what is a bypass surgery	Generic	Expert
CS_00063		nontoxic uninodular goiter	Generic	Expert
CS_00064		comfrey root ointment	Generic	Expert
CS_00065		what causes boils on skin	Direct Answer	Expert
CS_00066		diabetes and fluid retention	Generic	Expert
CS_00067		the meaning of spam	Generic	General
CS_00068		signs of tumor in head	Direct Answer	Expert
CS_00069		burning feet	Generic	Expert
CS_00070		treatment for spinal stenosis	Guide	Expert
CS_00071		what is zenker's diverticulum	Generic	Expert
CS_00072		bladder failure	Generic	Expert
CS_00073		weird menopause symptoms	Direct Answer	Expert
CS_00074		osteogenesis imperfecta	Generic	Expert
CS_00075		phlegm treatment	Guide	Expert
CS_00076		what is a malignant tumor	Generic	Expert
CS_00077		what is an adnexal cyst	Generic	Expert
